suburb,postcode,state,dc,type,lat,lon,No liquor_store,No police,No park
ormond,3204,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.904059,145.040899,2.0,0.0,10.0
park orchards,3114,VIC,MOOROOLBARK DC,Delivery Area,-37.778442,145.214586,1.0,0.0,9.0
parkdale,3195,VIC,BRAESIDE DC,Delivery Area,-37.992659,145.075479,2.0,0.0,5.0
parkville,3052,VIC,CARLTON DC,Delivery Area,-37.788531,144.947731,0.0,0.0,20.0
pascoe vale,3044,VIC,PRESTON DC,Delivery Area,-37.727568,144.939122,4.0,0.0,14.0
pascoe vale south,3044,VIC,PRESTON DC,Delivery Area,-37.739198,144.945722,1.0,0.0,7.0
patterson lakes,3197,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.067368,145.144762,3.0,0.0,11.0
point cook,3030,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.914616,144.751038,0.0,0.0,10.0
port melbourne,3207,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.975682,145.03046799999996,0.0,0.0,11.0
prahran,3181,VIC,RICHMOND DC,Delivery Area,-37.849577,144.99371399999995,20.0,1.0,20.0
preston,3072,VIC,PRESTON DC,Delivery Area,-37.738736,145.00051499999995,4.0,1.0,13.0
princes hill,3054,VIC,CARLTON DC,Delivery Area,-37.780995,144.96279199999995,6.0,0.0,18.0
research,3095,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.703602,145.18063600000005,1.0,0.0,8.0
reservoir,3073,VIC,PRESTON DC,Delivery Area,-37.716897,145.006985,7.0,0.0,12.0
richmond,3121,VIC,RICHMOND DC,Delivery Area,-37.818587,144.999181,20.0,1.0,17.0
ringwood,3134,VIC,MOOROOLBARK DC,Delivery Area,-37.81402,145.227362,8.0,1.0,20.0
